title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;status
Quality requirements challenges in the context of large-scale distributed agile: An empirical study;Wasim Alsaqaf and Maya Daneva and Roel Wieringa;Information and Software Technology;2019;Science@Direct;39-55;110;"Context
Engineering quality requirements in agile projects does not fit organically with agile methods. Despite the agile community acknowledges this, little empirical evidence has been published on this topic.
Objective
This exploratory qualitative interview-based study explicates the challenging situations experienced by practitioners in engineering the quality requirements in the context of large-scale distributed agile projects. Moreover, this study describes the practices that agile distributed teams currently use which could contribute by dealing with the identified challenges.
Method
The challenging situations and possible mitigation practices were studied from the perspective of 17 practitioners from large distributed agile project teams in six organizations in The Netherlands. Qualitative data were collected using semi-structured, open-ended interviews. Qualitative coding techniques were used for data analysis, to identify the challenges of engineering quality requirements, the mechanisms behind the challenges and the practices used that could mitigate the impact of those challenges. Further, by using dialog mapping technique for qualitative data structuring, we have mapped the identified mechanisms and practices to the challenges.
Results
From the perspective of the participating practitioners, our exploratory study revealed 15 challenges classified in five categories: (1) team coordination and communication, (2) quality assurance, (3) quality requirements elicitation, (4) conceptual challenges, and (5) software architecture. The study has also disclosed 13 mechanisms behind the challenges and 9 practices that could mitigate the impact of those challenges.
Conclusions
The main contributions of the paper are: (1) the explication of the challenges from practitioners’ perspective and the comparison of our findings with previously published results, (2) the description of the mechanisms behind the challenges, and (3) the identification of the practices currently used by agile teams that could mitigate the impact of the challenges. The findings of this study provide useful input into the process of designing possible solution approaches to overcome the challenges.";;https://doi.org/10.1016/j.infsof.2019.01.009;https://www.sciencedirect.com/science/article/pii/S0950584918300739;;;Agile large-scale distributed projects, Requirements engineering, Quality requirements, Exploratory empirical research method, Interviews;;0950-5849;;;;Rejected
A comparative study of software tools for user story management;Sonja Dimitrijevi? and Jelena Jovanovi? and Vladan Devedži?;Information and Software Technology;2015;Science@Direct;352-368;57;"Context
User stories have become widely accepted in agile software development. Consequently, a great number of software tools that provide, inter alia, support for practices based on user stories have emerged in recent years. These tools may have different features and focus in terms of support for agile requirements engineering (RE) concepts and practices.
Objective
The present study aims to provide a deep insight into the current capabilities and future trends of software support for agile RE practices based on user stories.
Method
A comparative qualitative study of a set of agile software tools has been conducted according to the following criteria: coverage of the key functional requirements, support for basic agile RE concepts and practices, and user satisfaction with the tool. The criteria for tool selection were: diversity of software tools, high rating on the user-stories community Web site (http://www.userstories.com), and availability for review.
Results
The results show a generally good coverage of key functional requirements related to management of user stories and epics, high-level release planning and low-level iteration planning. On the other hand, user-role modeling and persona support have not been addressed at all, and it has been found that requirements for acceptance testing support were completely covered by only one tool. More importantly, the study has revealed significant differences in the way different tools support agile RE concepts and practices (if at all). Finally, qualitative analysis of user reviews has demonstrated that practitioners prefer tools that are easy to set up, easy to learn, easy to use, and easy to customize, over more sophisticated but simultaneously more demanding tools.
Conclusion
Although the progress that has been made since the inception of these tools is quite clear, there is still room for improvements in terms of support for various agile RE practices within a specific agile process.";;https://doi.org/10.1016/j.infsof.2014.05.012;https://www.sciencedirect.com/science/article/pii/S0950584914001293;;;Requirements engineering, Agile practices, User story management, Software support;;0950-5849;;;;Rejected
Intelligent software engineering in the context of agile software development: A systematic literature review;Mirko Perkusich and Lenardo {Chaves e Silva} and Alexandre Costa and Felipe Ramos and Renata Saraiva and Arthur Freire and Ednaldo Dilorenzo and Emanuel Dantas and Danilo Santos and Kyller Gorgônio and Hyggo Almeida and Angelo Perkusich;Information and Software Technology;2020;Science@Direct;106241;119;CONTEXT: Intelligent Software Engineering (ISE) refers to the application of intelligent techniques to software engineering. We define an “intelligent technique” as a technique that explores data (from digital artifacts or domain experts) for knowledge discovery, reasoning, learning, planning, natural language processing, perception or supporting decision-making. OBJECTIVE: The purpose of this study is to synthesize and analyze the state of the art of the field of applying intelligent techniques to Agile Software Development (ASD). Furthermore, we assess its maturity and identify adoption risks. METHOD: Using a systematic literature review, we identified 104 primary studies, resulting in 93 unique studies. RESULTS: We identified that there is a positive trend in the number of studies applying intelligent techniques to ASD. Also, we determined that reasoning under uncertainty (mainly, Bayesian network), search-based solutions, and machine learning are the most popular intelligent techniques in the context of ASD. In terms of purposes, the most popular ones are effort estimation, requirements prioritization, resource allocation, requirements selection, and requirements management. Furthermore, we discovered that the primary goal of applying intelligent techniques is to support decision making. As a consequence, the adoption risks in terms of the safety of the current solutions are low. Finally, we highlight the trend of using explainable intelligent techniques. CONCLUSION: Overall, although the topic area is up-and-coming, for many areas of application, it is still in its infancy. So, this means that there is a need for more empirical studies, and there are a plethora of new opportunities for researchers.;;https://doi.org/10.1016/j.infsof.2019.106241;https://www.sciencedirect.com/science/article/pii/S0950584919302587;;;Intelligent software engineering, Agile software development, Search-based software engineering, Machine learning, Bayesian networks, Artificial intelligence;;0950-5849;;;;Accepted
A multi-case study of agile requirements engineering and the use of test cases as requirements;Elizabeth Bjarnason and Michael Unterkalmsteiner and Markus Borg and Emelie Engström;Information and Software Technology;2016;Science@Direct;61-79;77;"Context
It is an enigma that agile projects can succeed ‘without requirements’ when weak requirements engineering is a known cause for project failures. While agile development projects often manage well without extensive requirements test cases are commonly viewed as requirements and detailed requirements are documented as test cases.
Objective
We have investigated this agile practice of using test cases as requirements to understand how test cases can support the main requirements activities, and how this practice varies.
Method
We performed an iterative case study at three companies and collected data through 14 interviews and two focus groups.
Results
The use of test cases as requirements poses both benefits and challenges when eliciting, validating, verifying, and managing requirements, and when used as a documented agreement. We have identified five variants of the test-cases-as-requirements practice, namely de facto, behaviour-driven, story-test driven, stand-alone strict and stand-alone manual for which the application of the practice varies concerning the time frame of requirements documentation, the requirements format, the extent to which the test cases are a machine executable specification and the use of tools which provide specific support for the practice of using test cases as requirements.
Conclusions
The findings provide empirical insight into how agile development projects manage and communicate requirements. The identified variants of the practice of using test cases as requirements can be used to perform in-depth investigations into agile requirements engineering. Practitioners can use the provided recommendations as a guide in designing and improving their agile requirements practices based on project characteristics such as number of stakeholders and rate of change.";;https://doi.org/10.1016/j.infsof.2016.03.008;https://www.sciencedirect.com/science/article/pii/S0950584916300544;;;Agile development, Requirements, Testing, Test-first development, Test-driven development, Behaviour-driven development, Acceptance test, Case study, Empirical software engineering;;0950-5849;;;;Rejected
Ambiguity in user stories: A systematic literature review;Anis R. Amna and Geert Poels;Information and Software Technology;2022;Science@Direct;106824;145;"Context
Ambiguity in user stories is a problem that has received little research attention. Due to the absence of review studies, it is not known how and to what extent this problem, which impacts the effectiveness of user stories in supporting systems development, has been solved.
Objectives
We review the studies that investigate or develop solutions for problems related to ambiguity in user stories. We investigate how these problems manifest themselves, what their causes and consequences are, what solutions have been proposed and what evidence of their effectiveness has been presented. Based on the insights we obtain from this review, we identify research gaps and suggest opportunities for future research.
Methods
We followed Systematic Literature Review guidelines to review problems investigated, solutions proposed, and validation/evaluation methods used. We classified the reviewed studies according to the four linguistic levels of ambiguity (i.e., lexical, syntactic, semantic, pragmatic) proposed by Berry and Kamsties to obtain insights from patterns that we observe in the classification of problems and solutions.
Results
A total of 36 studies published in 2001–2020 investigated ambiguity in user stories. Based on four patterns we discern, we identify three research gaps. First, we need more research on human behaviors and cognitive factors causing ambiguity. Second, ambiguity is seldom studied as a problem of a set of related user stories, like a theme or epic in Scrum. Third, there is a lack of holistic solution approaches that consider ambiguity at multiple linguistic levels.
Conclusion
Ambiguity in user stories is a known problem. However, a comprehensive solution for addressing ambiguity in a set of related user stories as it manifests itself at different linguistic levels as a cognitive problem is lacking.";;https://doi.org/10.1016/j.infsof.2022.106824;https://www.sciencedirect.com/science/article/pii/S0950584922000040;;;Requirements engineering, Agile software development, User story, Ambiguity, Systematic Literature Review;;0950-5849;;;;Accepted
Leveraging creativity in requirements elicitation within agile software development: A systematic literature review;Ainhoa Aldave and Juan M. Vara and David Granada and Esperanza Marcos;Journal of Systems and Software;2019;Science@Direct;110396;157;Agile approaches tend to focus solely on scoping and simplicity rather than on problem solving and discovery. This hampers the development of innovative solutions. Additionally, little has been said about how to capture and represent the real user needs. To fill this gap, some authors argue in favor of the application of “Creative thinking” for requirements elicitation within agile software development. This synergy between creativeness and agility has arisen as a new means of bringing innovation and flexibility to increasingly demanding software. The aim of the present study is therefore to employ a systematic review to investigate the state-of-the-art of those approaches that leverage creativity in requirements elicitation within Agile Software Development, as well as the benefits, limitations and strength of evidence of these approaches. The review was carried out by following the guidelines proposed by Dr. Kitchenham. The search strategy identified 1451 studies, 17 of which were eventually classified as primary studies. The selected studies contained 13 different and unique proposals. These approaches provide evidence that enhanced creativity in requirements elicitation can be successfully implemented in real software projects. We specifically observed that projects related to user interface development, such as those for mobile or web applications, are good candidates for the use of these approaches. We have also found that agile methodologies such as Scrum, Extreme Programming or methodologies based on rapid modelling are preferred when introducing creativity into requirements elicitation. Despite this being a new research field, there is a mixture of techniques, tools and processes that have already been and are currently being successfully tested in industry. Finally, we have found that, although creativity is an important ingredient with which to bring about innovation, it is not always sufficient to generate new requirements because this needs to be followed by user engagement and a specific context in which proper conditions, such as flexibility, time or resources, have to be met.;;https://doi.org/10.1016/j.jss.2019.110396;https://www.sciencedirect.com/science/article/pii/S0164121219301712;;;Software development, Software project management, Agile methodologies, Requirements elicitation, Creative thinking, Systematic review;;0164-1212;;;;Accepted
Towards optimal quality requirement documentation in agile software development: A multiple case study;Woubshet Behutiye and Pilar Rodríguez and Markku Oivo and Sanja Aaramaa and Jari Partanen and Antonin Abhervé;Journal of Systems and Software;2022;Science@Direct;111112;183;"Context:
Agile software development (ASD) promotes minimal documentation and often prioritizes functional requirements over quality requirements (QRs). The minimal documentation emphasis may be beneficial in reducing time-to-market for software. However, it can also be a concern, especially with QRs, since they are challenging to specify and document and are crucial for software success. Therefore, understanding how practitioners perceive the importance of QR documentation is valuable because it can provide insight into how they approach this task. It also helps in developing models and guidelines that support the documentation of QRs in ASD, which is a research gap.
Objective:
We aim to understand practitioners’ perceptions of QR documentation and factors influencing this task to derive a model that supports optimal QR documentation in ASD.
Method:
We conducted a multiple case study involving 12 participants from three cases that apply ASD.
Results:
Practitioners identify QR documentation as important and perceive it as contributing to ensuring quality, clarifying QRs, and facilitating decision-making. Time constraints, QR awareness, and communication gaps affect QR documentation. Missing and outdated QR documentation may lead to technical debt and a lack of common understanding regarding QRs. We introduce a model to support optimal QR documentation in ASD by focusing on the factors: time constraints, QR awareness, and communication gaps. The model provides a representation and explanation of the factors affecting QR documentation in ASD and identifies mitigation strategies to overcome issues that may occur due to these factors.
Conclusion:
The study reveals the importance of documenting QRs in ASD. It introduces a model that is based on empirical knowledge of QR documentation practices in ASD. Both practitioners and researchers can potentially benefit from the model. For instance, practitioners can analyze how time constraints or QR awareness affect documentation, see potential issues that may arise from them, and utilize strategies suggested by the model to address these issues. Researchers can learn about QR documentation in ASD and utilize the model to understand the topic. They can also use the study as a baseline to investigate the topic with other cases.";;https://doi.org/10.1016/j.jss.2021.111112;https://www.sciencedirect.com/science/article/pii/S0164121221002090;;;Agile software development, Documentation, Quality requirements, Non-functional requirements;;0164-1212;;;;Rejected
Agile elicitation of scalability requirements for open systems: A case study;Gunnar Brataas and Antonio Martini and Geir Kjetil Hanssen and Georg Ræder;Journal of Systems and Software;2021;Science@Direct;111064;182;Eliciting scalability requirements during agile software development is complicated and poorly described in previous research. This article presents a lightweight artifact for eliciting scalability requirements during agile software development: the ScrumScale model. The ScrumScale model is a simple spreadsheet. The scalability concepts underlying the ScrumScale model are clarified in this design science research, which also utilizes coordination theory. This paper describes the open banking case study, in which a legacy banking system becomes open. This challenges the scalability of this legacy system. The first step in understanding this challenge is to elicit the new scalability requirements. In the open banking case study, key stakeholders from TietoEVRY spent 55 h eliciting the scalability requirements of TietoEVRY’s open banking project. According to TietoEVRY, the ScrumScale model provided a systematic way of producing scalability requirements. For TietoEVRY, the scalability concepts behind the ScrumScale model also offered significant advantages in dialogs with other stakeholders.;;https://doi.org/10.1016/j.jss.2021.111064;https://www.sciencedirect.com/science/article/pii/S0164121221001618;;;Performance requirements, Software performance engineering, Agile software development, Non-functional requirements, Open systems, Design science, Quality requirements, Requirements engineering, Workload charaterization;;0164-1212;;;;Rejected
Requirements engineering: A systematic mapping study in agile software development;Karina Curcio and Tiago Navarro and Andreia Malucelli and Sheila Reinehr;Journal of Systems and Software;2018;Science@Direct;32-50;139;"Context
Requirements engineering in agile software development is a relatively recent software engineering topic and it is not completely explored and understood. The understanding of how this process works on agile world needs a deeper analysis.
Objective
The goal of this paper is to map the subject area of requirements engineering in agile context to identify the main topics that have been researched and to identify gaps to develop future researches. It is also intended to identify the obstacles that practitioners face when using agile requirements engineering.
Method
A systematic mapping study was conducted and as a result 2171 papers were initially identified and further narrowed to 104 by applying exclusion criteria and analysis.
Conclusion
After completing the classification and the analysis of the selected studies it was possible to identify 15 areas (13 based on SWEBOK) where researches were developed. Five of such areas points to the need of future researches, among them are requirements elicitation, change management, measuring requirements, software requirements tools and comparative studies between traditional and agile requirements. In this research, some obstacles that practitioners face dealing with requirements engineering in agile context were also identified. They are related to environment, people and resources.";;https://doi.org/10.1016/j.jss.2018.01.036;https://www.sciencedirect.com/science/article/pii/S0164121218300141;;;Agile software development, Requirements engineering, Systematic mapping study;;0164-1212;;;;Accepted
Requirements specification for developers in agile projects: Evaluation by two industrial case studies;Juliana Medeiros and Alexandre Vasconcelos and Carla Silva and Miguel Goulão;Information and Software Technology;2020;Science@Direct;106194;117;"Context
An inadequate requirements specification activity acts as a catalyst to other problems, such as low team productivity and difficulty in maintaining software. Although Agile Software Development (ASD) has grown in recent years, research pointed out several limitations concerning its requirements engineering activities, such as Software Requirements Specification (SRS) provided in high level and targeted to the customer, lack of information required to perform design activities and low availability of the customer. To overcome these issues, the RSD (Requirements Specification for Developers) approach was proposed to create an SRS that provides information closer to development needs. In addition, existing literature reviews identify a demand for more empirical studies on the requirements specification activity in ASD.
Objective
Face to this, this work presents the evaluation of the RSD approach with respect to how it affects the teamwork and to identify its strengths and limitations.
Methods
This evaluation was performed by means of two industrial case studies conducted using a multiple-case design, focusing on software engineers as the analysis unit. Data were collected during 15 months from documents, observations, and interviews. They were triangulated, analyzed, and synthesized using techniques of grounded theory.
Results
The findings pointed out that the readability of SRS was compromised when several requirements are specified in the same RSD artifact. Evaluation also indicated the need of prioritization and categorization of the acceptance criteria, a tool for creating, searching and tracing the artifacts, and obtaining acceptance tests from acceptance criteria. On the other hand, the findings showed that the practices used to specify requirements using the RSD approach have the potential to produce a more objective SRS, tailored for the development team.
Conclusion
As a consequence, the structure of the RSD artifact was considered as a factor that improved the team performance in the two case studies.";;https://doi.org/10.1016/j.infsof.2019.106194;https://www.sciencedirect.com/science/article/pii/S0950584919302010;;;Software requirements specification, Agile software development, Empirical software engineering;;0950-5849;;;;Rejected
Survey on Differences of Requirements Engineering for Traditional and Agile Development Processes;Alhazmi, Alhejab and Huang, Shihong;;2020;IEEE Digital Library;1-9;;None;;10.1109/SoutheastCon44009.2020.9397492;;;;;;;;;;Accepted
Defining Agile Requirements Change Management: A Mapping Study;Albuquerque, Danyllo and Guimaraes, Everton and Perkusich, Mirko and Costa, Alexandre and Dantas, Emanuel and Ramos, Felipe and Almeida, Hyggo;;2020;ACM Digital Library;1421–1424;;As opposed to traditional software development, agile development encourages requirements change. Given the importance of requirements change management, there is an increasing number of studies discussing this process in both traditional and agile software developments. By examining existing works, we observed that there are many ways to improve the management of agile requirements change. Aiming to addressing this research gap, our study focus on defining a process to handle Agile Requirement Change Management (ARCM), as well as identifying practices to support ARCM process. We performed systematic study to map the main practices applied to manage agile requirements change. Our primary goal was to seek a better understanding of possible directions in the ARCM research, and foster discussions for future work. We identified 3 steps to handle the ARCM process, and grouped 11 distinct agile practices to carry out these steps. Even though agile practices might be, to some extent, for managing requirement change, we were able to identify practical challenges when adopting these practices for Agile Requirements Changes management.;;10.1145/3341105.3374095;https://doi.org/10.1145/3341105.3374095;;;agile requirements, requirements changes management, agile development, exploratory study;Association for Computing Machinery;;;;;Accepted
Overlap between Automated Unit and Acceptance Testing – a Systematic Literature Review;van Heugten Breurkes, Jack and Gilson, Fabian and Galster, Matthias;;2022;ACM Digital Library;80–89;;Unit and automated acceptance testing have different objectives (e.g., testing units of code versus testing complete features). Testing practices (e.g., test-first, model-based) used for one “level” of testing (for either unit or acceptance testing) may require knowledge and skills that are not applicable to the other. This makes it difficult for practitioners to gain the skills required to effectively test at all levels and form a cohesive testing strategy. The aim of this systematic literature review is to understand whether there are any automated unit testing practices that have similarities with automated acceptance testing practices (and vice versa). Understanding these similarities can enable skill transfer across testing activities at different levels. This systematic literature review focuses on empirical research with an industry focus. We found that test-driven development (TDD) and model-based test generation (MBTG) are two practices widely researched for both unit testing and acceptance testing. For TDD we found that a design- and test-first mindset is required and helpful at both the unit and acceptance levels, but practitioners struggle with that practice. For MBTG we found that, despite its ability to increase code coverage, the additional manual effort to enable automated test generation may outweigh its benefits.;;10.1145/3530019.3530028;https://doi.org/10.1145/3530019.3530028;;;test-driven development, model-based test generation, acceptance testing, automated testing, unit testing, testing strategy;Association for Computing Machinery;;;;;Rejected
Agile Transformation Challenges and Solutions in Bureaucratic Government: A Systematic Literature Review;Dwi Harfianto, Hendy and Raharjo, Teguh and Hardian, Bob and Wahbi, Andi;;2022;ACM Digital Library;12–19;;Information technology (IT) provides ease, convenience, and efficiency to run some errands. IT is not only facilitating services to customers, but also as the main backbone to drive business and management in an organization. A lot of IT projects were established to solve problems or improve business problems with IT. The urgency to quickly execute IT projects within a short time made some organizations have to consider changing their development methods from predictive (waterfall) to adaptive (agile). However, transforming to agile in public sector, especially a convoluted hierarchical organization like government, was not as easy as less bureaucratic ones. A layered bureaucracy could hinder the application of agile methods. This study was conducted to summarize challenges of agile transformation in a bureaucratic government and its solutions. A Systematic Literature Review (SLR) was applied as the main method of this research. There were 14 relevant papers from the past 5 years identified from six databases resulting in 20 challenges grouped into 4 categories using TOEI (technology-organization-environment-individual) framework. Several solutions to each challenge were mapped as a recommendation for other bureaucratic governments before transforming to agile. The findings can also be used for future research exploration of agile transformation challenges in other organization types.;;10.1145/3512676.3512679;https://doi.org/10.1145/3512676.3512679;;;Systematic Literature Review, Bureaucratic Government, IT Project, Agile Transformation Challenges;Association for Computing Machinery;;;;;Rejected
Challenges in Combining Agile Development and CMMI: A Systematic Literature Review;Ferdinansyah, Alex and Purwandari, Betty;;2021;ACM Digital Library;63–69;;Recently, Agile Development has emerged as an alternative approach in software engineering. The Agile Software Development (ASD) process provides the ability to cope with ever-changing requirements. On the other hand, the Capability Maturity Model Integration, one of the Software Process Improvement Framework, is widely used to provide software development organizations with structure and stability in their software process. It enables organizations to generate software processes with better quality software, the productivity increase of the development team, and minimal risk of failure. The idea behind combining the Capability Maturity Model Integration (CMMI) and Agile aims to create a software development procedure that is stable and continues to improve while also providing agility for dealing with dynamic business needs. This research compiles the experiences of combining both software and identifies challenges for the collaborative implementation process. This study also highlights the extent of the compatibility of CMMI and Agile Development. This research followed a standardized Systematic Literature Review procedure and used the approach known as Preferred Reporting Items for Systematic Reviews and Meta-Analyses or PRISMA. The findings indicate that the main challenges with regard to combining CMMI and Agile are the lack of relevant knowledge and experience and the culture of CMMI, Agile, or sometimes both. The limited scope of Agile itself poses another considerable challenge. Agile focuses on software development projects, while CMMI has a broader range, from project-level development to organization-level process improvement. This review also finds that Agile Development is compatible with CMMI at a maturity level of 2 and 3. Future studies should determine the optimal method for overcoming the obstacles associated with combining CMMI and Agile.;;10.1145/3457784.3457803;https://doi.org/10.1145/3457784.3457803;;;Scrum, Software Process Improvement, Agile, CMMI, Systematic Literature Review, PRISMA, Extreme Programming;Association for Computing Machinery;;;;;Rejected
A Quest of Software Process Improvements in DevOps and Kanban: A Case Study in Small Software Company;Gunawan, Fandi and K. Budiardjo, Eko;;2021;ACM Digital Library;39–45;;A good software process improves software products. In the case of a small software company, software development is a matter of survivability due to its limited resources to develop software. XYZ Company is a very small software company that adopted Kanban and DevOps and faced software delivery delays. It is necessary to recommend the software process improvements to solve this problem. Software process improvements are the outcomes of measurement and analysis of maturity levels using the ISO 29110 framework in a qualitative study. They are then analyzed using the Lean Six Sigma tools, namely gap analysis, root cause analysis, and Pareto analysis. Delphi method validated them and resulted in 18 improvement recommendations within four domains, namely (a) product, (b) people, (c) technology, and (d) process. The improvements span across two main processes within software development, namely (a) Project Management (PM) and (b) Software Implementation (SI). The XYZ Company or any agile-based software company could adopt the 18 improvement recommendations to enhance the software process and quality.;;10.1145/3451471.3451478;https://doi.org/10.1145/3451471.3451478;;;Kanban, ISO 29110, DevOps, small software company, Software Process Improvement, agile, SPI;Association for Computing Machinery;;;;;Rejected
Digitizing Parliaments: A Case Study of Serbia;Gostoji\'{c}, Stevan and Ledeni\v{c}an, Biljana and Gr\v{s}i\'{c}, Nenad;;2020;ACM Digital Library;705–710;;The technological and following economic, political and social changes that have characterised the last decades have been accompanied with new forms of relationships between governments and citizens. Proliferation of transparent and accountable democratic practices and innovative tools aims to offer a response to a corrosion of democracy and its deformations into autocratic and illiberal regimes. New digital solutions may bring increased citizens participation at the local level, by upgrading the work processes of municipal institutions in a more transparent and inclusive manner. The focus of this paper is on the analysis of an innovative approach in digitalization of municipal, city and regional parliaments in Serbia, by developing e-parliament as a unique software solution for supporting management of parliamentary sessions. First, the benefits of the digitalization process are presented, both for parliaments and citizens. Then, scope of the system is described and high-level design principles are set. The scope was limited to legislative and oversight functions of the parliament. The most important principles were to develop a highly configurable and customizable solution, by using a modular design, open standards and platform-independent open-source components. Organizational and technical issues that have risen during the implementation process are also briefly described in the paper. The lessons learned are summed up as good practices that can hopefully guide parliament digitalization initiatives in other countries. Finally, the paper is concluded with plans to improve the software in the future.;;10.1145/3428502.3428606;https://doi.org/10.1145/3428502.3428606;;;participation, transparency, digitization, parliament, inclusiveness;Association for Computing Machinery;;;;;Rejected
A Descriptive Study of Assumptions Made in LINDDUN Privacy Threat Elicitation;Van Landuyt, Dimitri and Joosen, Wouter;;2020;ACM Digital Library;1280–1287;;Threat modeling is widely adopted and increasingly recognized as an essential step in the secure software development life cycle (SDLC). Focused on privacy-specific threat categories, LINDDUN is a threat modeling framework that allows the identification of privacy-related design flaws at the stage of the initial architecture concept. LINDDUN advocates making explicit any assumptions during the identification and prioritization of privacy threats. These assumptions are in practice documented informally in a free-form, textual format, and the impact, nature and purpose of these assumptions within the context of LINDDUN is not well understood.We present a descriptive study of assumptions made during the application of LINDDUN. This empirical study involves in total 122 threat models created for an IoT-based home automation system and a total of 845 studied assumptions. This study focuses on (i) clarifying the role of assumption-making in the threat modeling process, and (ii) categorizing the types of information provided in these assumptions, and (iii) their relation to the LINDDUN threat categories or more broadly, any privacy-specific concepts.Our results indicate that in practice, (i) assumptions are used to motivate exclusion of potential threats, yet the rationale behind such decisions is often not documented, (ii) many assumption are about the system under analysis, and (iii) a majority is also relevant outside of the specific LINDDUN or privacy scope.;;10.1145/3341105.3375762;https://doi.org/10.1145/3341105.3375762;;;threat modeling, privacy, assumptions, LINDDUN;Association for Computing Machinery;;;;;Rejected
Agile Project Management Challenges and Mapping Solutions: A Systematic Literature Review;Raharjo, Teguh and Purwandari, Betty;;2020;ACM Digital Library;123–129;;The Project Management Institute reported that the Agile approach is widely being used for project management practices. This approach has a significant impact on business growth and project performance. However, its implementation is challenging. Therefore, a systematic literature review (SLR) is used to reveal the challenges faced in Agile project execution. The Project Management Body of Knowledge (PMBOK) knowledge areas were adopted to classify the challenges. A total of 23 papers from 400 were identified as the result of SLR extraction. The challenges from related studies were categorized into the PMBOK knowledge areas. A mapping from the challenges to the solutions was performed using the PMBOK Guide, Prince2 Agile, Agile Practice Guide, and other related references. This study provides a list of Agile challenges and their mapped solutions. The biggest challenge arises from stakeholder management, which includes challenges related to Agile adaption, Agile transition, and Agile transformation. Other challenges include project resource management, project integration management, project scope management, and project schedule management. For academicians, this study provides a new understanding of Agile challenges and their suitable solutions from the perspective of project management. For practitioners, the findings provide potential lessons learned and recommendations to deal with the challenges.;;10.1145/3378936.3378949;https://doi.org/10.1145/3378936.3378949;;;Agile Project Management, Systematic Literature Review, Agile, Agile Approach;Association for Computing Machinery;;;;;Rejected
Continuous Development and Testing of Access and Usage Control: A Systematic Literature Review;Daoudagh, Said and Lonetti, Francesca and Marchetti, Eda;;2020;ACM Digital Library;51–59;;Context: Development and testing of access/usage control systems is a growing research area. With new trends in software development such as DevOps, the development of access/usage control also has to evolve. Objective: The main aim of this paper is to provide an overview of research proposals in the area of continuous development and testing of access and usage control systems. Method: The paper uses a Systematic Literature Review as a research method to define the research questions and answer them following a systematic approach. With the specified search string, 210 studies were retrieved. After applying the inclusion and exclusion criteria in two phases, a final set of 20 primary studies was selected for this review. Results: Results show that primary studies are mostly published in security venues followed by software engineering venues. Furthermore, most of the studies are based on the standard XACML access control language. In addition, a significant portion of the proposals for development and testing is automated with test assessment and generation the most targeted areas. Some general guidelines for leveraging continuous developing and testing of the usage and access control systems inside the DevOps process are also provided.;;10.1145/3393822.3432330;https://doi.org/10.1145/3393822.3432330;;;Testing, DevOps, Systematic Literature Review, Access Control, XACML;Association for Computing Machinery;;;;;Rejected
Challenges in Adopting Continuous Delivery and DevOps in a Globally Distributed Product Team: A Case Study of a Healthcare Organization;Gupta, Rajeev Kumar and Venkatachalapathy, Mekanathan and Jeberla, Ferose Khan;;2019;ACM Digital Library;30–34;;"This paper presents our experiences in a project of a software engineering team spread across three countries that successfully established continuous delivery, DevOps and short release cycles with agile scrum. We had the challenge to find a way from established regulatory heavy-weight processes, long release strategies, legacy tools and technologies and people mindset towards adopting continuous delivery and DevOps.We are describing our experiences in the journey towards timeboxed release strategies compared to legacy fixed scope-based releases; value stream-based execution compared to traditional milestone-based execution; operation, test, and infrastructure as a code compared to executing these activities manually. This paper also describes experiences in transforming traditional scrum team into a DevOps team, technological landscape into lightweight tools. The authors bring their experiences as a Project Manager, Quality Manager, and an Architect, who has been an integral part of this journey.These practices have helped in stabilizing processes and methods to an extent where we have released several products versions within a year. The other business units are adopting our practices for continuous delivery and DevOps. This paper also summaries our lessons learned, and recommendations.";;10.1109/ICGSE.2019.00-10;https://doi.org/10.1109/ICGSE.2019.00-10;;;test as code, operation as code, DevOps, continuous delivery;IEEE Press;;;;;Rejected
Students Perception on the Use of Project-Based Learning in Software Engineering Education;Souza, Maur\'{\i}cio and Moreira, Renata and Figueiredo, Eduardo;;2019;ACM Digital Library;537–546;;Balancing theory and practice is a recurring challenge in Software Engineering (SE) education. However, the curriculum guidelines of the ACM/IEEE and Brazilian Computer Society emphasize the need of providing students with sufficient practical experiences for the development of competences expected for SE professional. Student-centered and learn-by-doing approaches, such as Project-Based Learning (PBL), have been advocated as suited for the development of competences. These approaches aim to promote higher motivation for the learner, a more active role in the learning process, and better learning in the application level. The goal of this paper is to evaluate the students' perception on the adoption of PBL in SE education. To achieve this goal, we performed a long-term study spanning for about 2 years. This study includes a survey to collect responses of 32 undergraduate students enrolled in an introductory SE course that used PBL. We compare the results to the responses of 17 students who participated in a SE course with similar syllabus but with a traditional teacher-centered learning method (non-PBL). Our results show a positive reception of the PBL method, and an increased perception of the contribution of a practical software development assignment in learning specific SE topics in the context of the PBL course, in comparison to a non-PBL method.;;10.1145/3350768.3352457;https://doi.org/10.1145/3350768.3352457;;;PBL, Software Engineering education, project-based learning;Association for Computing Machinery;;;;;Rejected
